,Compound Score,Date,Negative Score,Neutral Score,Positive Score,Source,Text,Tweets Ago
110,0.3182,Wed Jan 17 19:04:12 +0000 2018,0.0,0.881,0.119,@CBS,#StrangeAngel Casting News: @rupertfriend joins the cast of the upcoming CBS All Access original drama series. Lear… https://t.co/xOq0SC6ove,10
111,0.1316,Wed Jan 17 14:52:00 +0000 2018,0.072,0.826,0.102,@CBS,"You won't want to miss performances by @eltonofficial with @MileyCyrus, @U2, @samsmithworld, @kendricklamar &amp; more!… https://t.co/dCKkJIXQfZ",11
112,0.9215,Sun Jan 14 22:13:29 +0000 2018,0.0,0.621,0.379,@CBS,Cast your vote now and see who will be named the winner of Super Bowl Greatest Commercials 2018! Tune in January 30… https://t.co/zUteavWdKi,12
113,0.3182,Sun Jan 14 19:12:26 +0000 2018,0.13,0.628,0.242,@CBS,"If you continue to experience problems, please visit https://t.co/wvWEgDYfI5 to send our support team an email.",13
114,0.1027,Sun Jan 14 19:12:25 +0000 2018,0.0,0.935,0.065,@CBS,"We apologize for the live streaming issues some users are experiencing on CBS All Access this morning. The issue, a… https://t.co/WNl94H269i",14
115,0.6705,Sun Jan 14 19:11:33 +0000 2018,0.0,0.756,0.244,@CBS,"RT @startrekcbs: There will be lots to discuss after tonight's new #StarTrekDiscovery. Luckily, #AfterTrek has you covered. Join @karterhol…",15
116,-0.2244,Sun Jan 14 14:49:58 +0000 2018,0.095,0.905,0.0,@CBS,Don’t miss the AFC Divisional game! Stream the Jacksonville Jaguars at Pittsburgh Steelers LIVE today at 1:05PM ET… https://t.co/uYjgjaa6Oj,16
117,0.5719,Sun Jan 14 12:00:01 +0000 2018,0.0,0.829,0.171,@CBS,"Today's music stars will be tomorrow's legends. In two weeks, celebrate The 60th Annual #GRAMMYs, Sunday, January 2… https://t.co/feZVWMIKua",17
118,-0.2244,Sat Jan 13 14:32:07 +0000 2018,0.086,0.914,0.0,@CBS,Don’t miss the AFC Divisional game! Stream the Tennessee Titans at New England Patriots LIVE tonight at 8:15PM ET w… https://t.co/X34bNfms3j,18
119,0.8016,Fri Jan 12 21:39:27 +0000 2018,0.0,0.703,0.297,@CBS,Star power makes these commercials instant classics! Vote for your favorite spot now and watch Super Bowl Greatest… https://t.co/DwBhTazToF,19
120,0.6696,Fri Jan 19 22:53:48 +0000 2018,0.0,0.8,0.2,@CBS,RT @CBSTweet: A special thank you from @Browns guard @kzeit70 on behalf of himself and his dog Amber for voting him into #MVPCBS! Don't mis…,20
121,0.902,Fri Jan 19 12:06:04 +0000 2018,0.0,0.631,0.369,@CBS,"Cast your vote for your favorite commercial now, then tune in to see which spot is named champion! Watch Super Bowl… https://t.co/2dGlQvBQED",21
122,0.5697,Thu Jan 18 20:35:02 +0000 2018,0.0,0.83,0.17,@CBS,Baltimore @Ravens running back Alex Collins (@Budda03) is one of the finalists of MVP: Most Valuable Performer! Wat… https://t.co/7RV0vMyg2F,22
123,0.7326,Thu Jan 18 20:05:07 +0000 2018,0.0,0.781,0.219,@CBS,RT @CBSTweet: Let's go!!!! Thank you to the fans for voting in #BrandonWilliams from the @ravens! BrandonW_66 is ready to show off his sing…,23
124,0.0,Thu Jan 18 19:04:56 +0000 2018,0.0,1.0,0.0,@CBS,"#TBT to when @latelateshow's @JKCorden brought Carpool Karaoke to the #GRAMMYs with @JLo, @JohnLegend, @FaithHill a… https://t.co/MNqRh1rgIK",24
125,0.6689,Thu Jan 18 18:29:17 +0000 2018,0.0,0.793,0.207,@CBS,Find out if your top pick made it to the final round of MVP: Most Valuable Performer! Watch the finalists compete d… https://t.co/nhSJ1SDZDK,25
126,0.5574,Thu Jan 18 14:45:10 +0000 2018,0.104,0.631,0.266,@CBS,"Country stars @brothersosborne, @ericchurch &amp; @marenmorris will perform a special tribute to honor the victims of t… https://t.co/m0zbaY6AH0",26
